"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
97127.05937634046,305575.97498789005,176602.0963395346,-316838.88553278596,-131015.18489313104,-470775.66170801496,339324.60143016686,6.334471948748839e-11,6.334471948748875e-11,3.618915179919496e-25,"5.713049499941775e-15"
79258.0403760353,59786.61287792082,378151.0011186186,-66759.46971220442,-261193.83700583823,-442837.4325723654,253595.0849178327,1.180905699191774e-9,1.1809056991917756e-9,1.6543612251060553e-24,"1.4009257692958192e-15"
126007.2839790046,318802.89998495963,33472.74015191774,-127037.05814099476,-182053.15297157338,-292335.7359147749,123143.02291146095,1.2579811573948493e-9,1.2579811573948466e-9,-2.68833699079734e-24,"2.1370248473074206e-15"
287871.37062610796,199575.3046688462,234647.99897529933,-615862.3829052423,-303263.9374915506,-62913.42338996912,259945.06951650837,2.2754987865978932e-10,2.2754987865978275e-10,-6.565746112139657e-24,"2.885409630104057e-14"
292802.11455953994,207150.87974212365,100204.31632099091,-269461.2274051093,-393221.5236414514,-282966.41566617636,345491.8560900822,1.1670331447180558e-10,1.1670331447180664e-10,1.0598251598335667e-24,"9.081362981251067e-15"
293979.0134873235,144188.04046859266,42856.29857561548,-36746.08667601907,-374483.50854854344,-215567.26396296805,145773.50665599882,6.299608061973756e-9,6.299608061973721e-9,-3.556876633978019e-23,"5.646187189721132e-15"
278145.72967136843,72019.6323414988,118173.32036781736,-326980.22708277206,-87845.58363933336,-254462.73743829865,200949.86577971972,6.650934899381435e-10,6.650934899381415e-10,-1.9645539548134407e-24,"2.9538012092046675e-15"
213484.03546823736,90712.16001473996,408391.3564683802,-111443.63717770377,-350295.3698375805,-352041.01468703477,101192.46975096189,8.041380914681573e-10,8.041380914681538e-10,-3.5155176033503676e-24,"4.371783454421245e-15"
163851.85756345582,302895.8264870757,46777.66832829313,-404580.5739603118,-163201.69823972392,-152835.77933422406,207092.6991554353,2.7611415709108797e-10,2.761141570910881e-10,1.0339757656912846e-25,"3.74474013424159e-16"
57425.27391004181,224676.03586539475,205087.58748155262,-124712.48017563218,-213538.47288637367,-477286.10779876495,328348.1636037815,1.949066972292599e-10,1.9490669722926066e-10,7.496324301261813e-25,"3.84610914238837e-15"
103091.28798420512,70380.78876581433,182674.16438967065,-97852.40665862398,-217230.25495270547,-336870.04745745275,295806.4679290936,9.43353459454094e-10,9.433534594541063e-10,1.2200914035157158e-23,"1.2933555193848024e-14"
214195.50643576687,55523.72430222033,420365.8364357788,-138743.327100666,-192645.0330892912,-458344.7345217895,99648.02753798077,1.2504245276714723e-9,1.2504245276714657e-9,-6.617444900424222e-24,"5.2921585861300715e-15"
31489.040722911086,441947.7030441019,33358.0402914616,-452069.30983246164,-51609.43565207161,-111597.62275089047,108481.58417694963,1.2483399591074668e-9,1.2483399591074614e-9,-5.37667398159468e-24,"4.30705910066267e-15"
219420.5623493755,263039.6652870732,50559.197432966,-224921.17715709037,-222307.20866103028,-422611.78446474863,336820.74521345535,1.893796848879185e-10,1.8937968488791862e-10,1.2924697071141057e-25,"6.824753710404754e-16"
110730.84760493375,90665.72863871598,375765.04601338797,-180558.47429137895,-147876.81515876178,-375348.849051848,126622.51624495104,8.609676334401203e-10,8.609676334401208e-10,5.169878828456423e-25,"6.004730756020902e-16"
190591.25255100202,89790.06746565734,61502.63099286324,-237250.29247225198,-160758.31165120917,-209089.03137740796,265213.68449134653,9.031227350558043e-10,9.031227350558037e-10,-5.169878828456423e-25,"5.72444766118857e-16"
