s12,s13,s23,u1,u2,u3,Q2,madgraph_azimuthal_average
9.14649890406229097e+04,5.66009734025225334e+04,4.15253260472214315e+05,-1.54821616448760265e+05,-3.12832166246207489e+05,-4.89749270599766518e+05,3.94083830379374558e+05,3.71894300624677514e-10
4.69126870886427641e+04,6.20832427895013025e+04,3.70037175326558412e+05,-6.24799593501783384e+04,-6.62882158036771812e+05,-5.55129215902796568e+04,3.01841933772527322e+05,6.56722405518910875e-09
1.31942014144943561e+05,1.06315461877746580e+05,1.84456446688271681e+05,-1.19559325512492331e+05,-1.37733273806891491e+05,-5.36724474357150146e+05,3.71303150965571986e+05,3.12240215387181041e-10
5.51470472129668779e+04,4.66231024137749744e+05,5.79196520592455345e+04,-4.16669681373154279e+05,-3.73667422729924729e+04,-2.21139504637414706e+05,9.58782048735993158e+04,4.89807703786471550e-10
1.70776153468541772e+05,1.66973825903315563e+05,3.47517877493739943e+05,-5.29259598818022059e+04,-5.60370519003599067e+05,-2.62532234579874144e+05,1.90560856599678315e+05,4.59517035788106159e-10
1.56155018134893180e+05,2.52960016307571321e+05,1.77668419708793663e+05,-1.45836352406008053e+05,-8.84039925733487325e+04,-6.08258069883174845e+05,2.55714960711273132e+05,1.44522080141656432e-10
1.28482780399714102e+05,3.05433320915811288e+05,2.99755901282865554e+05,-4.91685046029903344e+05,-2.04487684628991992e+05,-1.73594950007280888e+05,1.36095678067785338e+05,2.12926344336033378e-10
1.60681958762726979e+05,3.29440606120030337e+05,1.09864940129763025e+05,-4.42483024627796956e+05,-2.67827984895187023e+05,-7.11385903008910245e+04,1.81462094811354938e+05,3.23703923982507451e-10
1.55391088958332606e+05,9.02335485447000829e+04,3.80543168599034427e+05,-2.80805606151550775e+05,-3.30835650718860328e+05,-2.24621743007515732e+05,2.10095193775859574e+05,3.91483742348061191e-10
1.16391898909973388e+05,3.43345698390440259e+05,1.51827832950149488e+05,-3.87528486779361963e+05,-5.24867359497162397e+04,-4.15603490461112408e+05,2.44053282939626952e+05,7.77549268958070089e-11
4.26949176047694637e+04,4.01460112143253617e+05,2.08582898999847588e+05,-1.83071979475744942e+05,-2.49420124649959063e+05,-4.49068340779148450e+05,2.28822516156981525e+05,1.38447019803565681e-10
3.47906952996905602e+05,3.38486586445623601e+05,5.73356233270271769e+04,-8.66565096973143867e+05,-4.91566859333644679e+04,-5.62787721496333688e+04,2.28271392286585644e+05,2.16185603635043727e-10
1.58860360174812376e+05,2.98049450641908974e+05,2.44971194473157288e+05,-5.11218202519015642e+05,-2.00570661303350702e+05,-1.06403788790711507e+05,1.16311647323199213e+05,3.45879183699120645e-10
3.43503800045185955e+05,3.02591162935505272e+04,2.09557771978590492e+05,-9.58946150563442352e+04,-6.71103296368138981e+05,-1.61379744316430675e+05,3.45056967423587164e+05,1.17387671526436158e-09
2.26549750968947919e+05,5.30470128102056624e+04,2.16529417933724762e+05,-2.60139341114888899e+05,-3.16441303850108234e+05,-5.46914955389161187e+04,1.35145958791034966e+05,3.12342673078375151e-09
1.62259949768478167e+05,2.88983741264125601e+04,8.25315042574543913e+04,-1.30902749895758927e+05,-1.06989537312871340e+05,-1.24860263092700188e+05,8.90627221489859221e+04,1.67917016131880845e-08
