"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
349283.9083671681,184828.78571006405,138399.18735731777,-141377.3407450909,-454781.0257084079,-387817.9394945421,311464.42451349087,2.0553654856101075e-11,2.0553654856101117e-11,4.2005265481208437e-26,"2.043688374417733e-15"
403972.6749933969,288582.90890136996,41410.987978139776,-395941.2826135864,-209415.37307063758,-296258.7453786382,167648.82918995584,2.2648636180756886e-11,2.2648636180756856e-11,-2.908056841006738e-26,"1.2839876175314829e-15"
63924.89397590167,182299.92100127213,342410.3821081523,-276224.70928571885,-171954.92563731637,-269518.33043361356,129062.76827132255,6.434412510195984e-11,6.434412510195977e-11,-6.462348535570529e-26,"1.0043416590606021e-15"
490396.8633990385,68703.81720534194,114533.53894073912,-608240.0739068391,-69979.09565743922,-218144.42593649947,222729.3759556582,4.846391960339588e-11,4.8463919603395907e-11,2.5849394142282115e-26,"5.333739894300837e-16"
59046.83304723358,77939.22058072593,255009.64507084567,-180475.1782350588,-375721.57478408754,-32010.198370394348,196211.2526907355,5.539730998844658e-10,5.539730998844651e-10,-7.237830359838992e-25,"1.3065310141139492e-15"
64503.55848413837,332102.76041738316,150336.56017548416,-237001.56206299583,-194768.4522061318,-314392.1376621981,199219.27285432024,5.1149972122499965e-11,5.1149972122499816e-11,-1.4863401631812216e-25,"2.9058474550515092e-15"
111073.74122093542,158304.19767634448,45780.317050826154,-297422.4081035659,-99060.69847869081,-50670.91818681401,131995.76882096447,2.733726765543242e-10,2.733726765543233e-10,-9.305781891221561e-25,"3.404064374141038e-15"
64121.22327825194,293416.871907816,163394.37646307255,-127352.12399924558,-297725.4330582597,-371885.74403794814,276030.82944631315,7.43887840124086e-11,7.438878401240843e-11,-1.6802106192483375e-25,"2.2586881094441145e-15"
122022.65350975492,181169.4283509043,270631.53786889894,-229567.68266180955,-357842.44456215104,-79228.29193170843,92814.79942611065,2.1233454818580792e-10,2.1233454818580614e-10,-1.783608195817466e-24,"8.399990538782606e-15"
246683.63492620684,336381.40777138073,160471.83615832208,-435638.4013258976,-112973.06813619593,-285812.8405087794,90887.43111496355,3.126162392250539e-11,3.126162392250526e-11,-1.2924697071141057e-25,"4.134365221454957e-15"
507465.0097802922,37772.8746521288,69080.55329143509,-105086.32432448582,-636930.980282148,-57858.43796356846,185557.30484634615,2.0006500160269462e-10,2.0006500160269518e-10,5.686866711302065e-25,"2.8425095172795357e-15"
31224.86184337738,57326.99513781909,326647.16098726145,-60817.804887488484,-136147.9937605037,-359590.4748155462,141357.2554950806,1.3167800646810425e-9,1.3167800646810388e-9,-3.7223127564886245e-24,"2.826829518709537e-15"
238222.16602054622,275969.34538803285,46730.74453634542,-174965.57168935047,-405682.8377119437,-338539.45215756603,358265.6056139361,2.194861749715183e-11,2.1948617497151797e-11,-3.2311742677852644e-26,"1.4721538922460875e-15"
239846.4139299501,272246.94078749453,100794.56860183869,-512091.3702733779,-129987.28534884856,-130961.51888306857,160152.25118601165,2.244555739827055e-11,2.244555739827051e-11,-4.2005265481208437e-26,"1.87142893071771e-15"
45011.923824083,337084.99106842495,130275.14513479732,-586283.4393064742,-169294.6335913665,-89737.7469427218,332943.7598132568,3.1866997200777544e-11,3.186699720077745e-11,-9.693522803355793e-26,"3.0418689097946367e-15"
127274.0218151066,182443.11373645032,384744.8829104185,-242025.9517963734,-61816.01566091887,-477267.4000601452,86647.34905546223,1.4273554037098223e-10,1.427355403709816e-10,-6.203854594147708e-25,"4.3463979454754884e-15"
298437.3677426095,341710.97343538405,34428.02258633645,-75365.96872724374,-368091.29666196735,-514772.1227487835,283653.0243736645,1.1530662959682023e-10,1.1530662959681988e-10,-3.4896682092080855e-25,"3.026424604907816e-15"
91464.98904062291,56600.97340252253,415253.2604722143,-154821.61644876027,-312832.1662462075,-489749.2705997665,394083.83037937456,2.8536796249507527e-11,2.8536796249507533e-11,6.462348535570529e-27,"2.26456693984422e-16"
46912.687088642764,62083.2427895013,370037.1753265584,-62479.95935017834,-662882.1580367718,-55512.92159027966,301841.9337725273,1.1510209639416047e-9,1.151020963941598e-9,-6.617444900424222e-24,"5.7491958076620636e-15"
131942.01414494356,106315.46187774658,184456.44668827168,-119559.32551249233,-137733.2738068915,-536724.4743571501,371303.150965572,9.704182274791895e-11,9.704182274791898e-11,2.5849394142282115e-26,"2.6637374907342665e-16"
55147.04721296688,466231.02413774974,57919.652059245534,-416669.6813731543,-37366.74227299247,-221139.5046374147,95878.20487359932,1.3368691588710226e-10,1.33686915887102e-10,-2.5849394142282115e-25,"1.9335769675554308e-15"
